x0,x1,class
11.25,11.1,b'5'
11.25,11.85,b'5'
10.7,12.25,b'5'
10.05,11.85,b'5'
10.6,11.6,b'5'
9.75,11.35,b'5'
10.4,10.9,b'5'
9.75,10.6,b'5'
9.75,9.8,b'5'
10.35,10.2,b'5'
10.9,10.4,b'5'
11.7,10.55,b'5'
12.4,10.1,b'5'
12.9,9.7,b'5'
12.35,9.65,b'5'
11.85,10.0,b'5'
11.15,9.8,b'5'
10.65,9.55,b'5'
10.1,9.25,b'5'
10.75,9.0,b'5'
11.1,9.3,b'5'
11.7,9.4,b'5'
12.15,9.1,b'5'
12.85,9.05,b'5'
12.45,8.7,b'5'
11.95,8.25,b'5'
11.7,8.85,b'5'
11.3,8.5,b'5'
11.55,7.95,b'5'
12.9,8.5,b'5'
13.25,8.05,b'5'
12.65,7.95,b'5'
12.1,7.6,b'5'
11.65,7.35,b'5'
12.2,7.0,b'5'
11.8,6.65,b'5'
12.65,7.3,b'5'
13.2,7.55,b'5'
13.65,7.75,b'5'
14.35,7.55,b'5'
13.8,7.3,b'5'
13.35,6.85,b'5'
12.7,6.7,b'5'
12.45,6.25,b'5'
13.2,5.85,b'5'
13.65,6.25,b'5'
14.1,6.75,b'5'
14.7,6.9,b'5'
15.0,7.5,b'5'
15.85,7.3,b'5'
15.35,7.05,b'5'
15.1,6.35,b'5'
14.45,6.3,b'5'
14.75,5.75,b'5'
13.95,5.8,b'5'
15.5,5.9,b'5'
15.8,6.4,b'5'
16.05,6.85,b'5'
16.55,7.1,b'5'
16.7,6.5,b'5'
16.25,6.1,b'5'
17.05,6.25,b'5'
15.85,11.55,b'5'
15.9,12.1,b'5'
16.3,11.65,b'5'
16.55,12.05,b'5'
16.5,12.6,b'5'
16.75,13.1,b'5'
17.5,13.0,b'5'
17.15,12.65,b'5'
17.1,12.1,b'5'
16.9,11.7,b'5'
17.4,11.65,b'5'
17.55,12.1,b'5'
17.75,12.65,b'5'
18.3,12.75,b'5'
18.25,12.25,b'5'
18.0,11.95,b'5'
17.85,11.5,b'5'
18.3,11.65,b'5'
18.6,12.0,b'5'
18.85,12.45,b'5'
19.1,11.8,b'5'
18.85,11.45,b'5'
18.5,11.15,b'5'
18.95,10.8,b'5'
19.3,11.15,b'5'
19.4,10.7,b'5'
19.25,10.35,b'5'
19.9,10.6,b'5'
19.65,10.15,b'5'
19.45,9.75,b'5'
19.9,9.45,b'5'
20.3,10.05,b'5'
20.65,10.35,b'5'
21.25,10.1,b'5'
20.9,9.9,b'5'
21.65,9.65,b'5'
21.15,9.35,b'5'
20.5,9.4,b'5'
19.5,9.2,b'5'
19.95,8.85,b'5'
20.65,8.8,b'5'
21.2,8.7,b'5'
21.9,8.85,b'5'
21.75,8.25,b'5'
21.65,7.8,b'5'
21.05,8.0,b'5'
20.3,8.2,b'5'
19.4,8.7,b'5'
19.6,8.05,b'5'
18.95,8.1,b'5'
20.0,7.6,b'5'
20.55,7.55,b'5'
21.25,7.25,b'5'
20.85,6.85,b'5'
20.25,7.05,b'5'
19.55,7.05,b'5'
19.05,7.45,b'5'
18.35,7.6,b'5'
17.85,7.3,b'5'
18.3,7.1,b'5'
18.95,6.85,b'5'
19.6,6.25,b'5'
20.15,6.45,b'5'
18.8,6.25,b'5'
18.35,6.55,b'5'
17.65,6.55,b'5'
17.25,6.9,b'5'
17.95,6.2,b'5'
17.45,9.85,b'6'
17.2,9.25,b'6'
17.0,9.6,b'6'
17.0,10.05,b'6'
16.45,10.1,b'6'
16.5,9.8,b'6'
16.6,9.45,b'6'
16.6,9.05,b'6'
15.9,9.0,b'6'
16.05,9.35,b'6'
16.05,9.65,b'6'
15.85,9.95,b'6'
15.35,9.9,b'6'
15.6,9.45,b'6'
15.3,9.15,b'6'
15.1,9.55,b'6'
